id,f_01_past_tense,f_02_perfect_aspect,f_03_present_tense,f_04_place_adverbials,f_05_time_adverbials,f_06_first_person_pronouns,f_07_second_person_pronouns,f_08_third_person_pronouns,f_09_pronoun_it,f_10_demonstrative_pronoun,f_11_indefinite_pronoun,f_12_proverb_do,f_13_wh_question,f_14_nominalization,f_15_gerunds,f_16_other_nouns,f_17_agentless_passives,f_18_by_passives,f_19_be_main_verb,f_20_existential_there,f_21_that_verb_comp,f_22_that_adj_comp,f_23_wh_clause,f_24_infinitives,f_25_present_participle,f_26_past_participle,f_27_past_participle_whiz,f_28_present_participle_whiz,f_29_that_subj,f_30_that_obj,f_31_wh_subj,f_32_wh_obj,f_33_pied_piping,f_34_sentence_relatives,f_35_because,f_36_though,f_37_if,f_38_other_adv_sub,f_39_prepositions,f_40_adj_attr,f_41_adj_pred,f_42_adverbs,f_43_type_token,f_44_mean_word_length,f_45_conjuncts,f_46_downtoners,f_47_hedges,f_48_amplifiers,f_49_emphatics,f_50_discourse_particles,f_51_demonstratives,f_52_modal_possibility,f_53_modal_necessity,f_54_modal_predictive,f_55_verb_public,f_56_verb_private,f_57_verb_suasive,f_58_verb_seem,f_59_contractions,f_61_stranded_preposition,f_62_split_infinitve,f_63_split_auxiliary,f_64_phrasal_coordination,f_66_neg_synthetic,f_67_neg_analytic,
11,A0B,18.22682268,6.900690069,38.62886289,2.925292529,5.775577558,5.100510051,0.525052505,7.050705071,4.875487549,3.225322532,1.275127513,0.825082508,0,25.72757276,8.400840084,218.5718572,2.550255026,0.525052505,10.0510051,1.275127513,2.250225023,0.300030003,0,11.32613261,1.425142514,1.050105011,2.325232523,1.275127513,1.350135014,1.125112511,1.95019502,0.450045005,1.500150015,1.275127513,0.525052505,1.200120012,1.275127513,1.275127513,110.0360036,99.08490849,2.625262526,52.35523552,0.198544854,5.0387267,3.375337534,1.800180018,0.150015002,2.325232523,6.00060006,0.225022502,4.875487549,3.375337534,0.750075008,2.325232523,3.525352535,8.02580258,3.150315032,0.825082508,0.150015002,0.300030003,0.075007501,0.375037504,10.72607261,1.275127513,3.825382538
12,A0C,15.27076236,6.020204393,55.29777987,2.613649712,3.289087278,5.844003289,2.643016563,11.59990603,8.193351345,2.584282862,1.585809938,2.378714907,0.029366851,21.90767062,10.5426994,262.7158464,0.85163867,0.088100552,11.18877012,1.644543639,3.024785622,0.234934806,0.352402208,13.39128392,1.556443087,0.85163867,1.879478445,2.173146952,0.528603313,0.82227182,2.554916011,0.44050276,0.734171267,2.11441325,0.85163867,0.41113591,1.703277341,0.82227182,103.077646,65.98731352,4.874897216,40.84928932,0.15003524,4.912485954,1.468342535,1.380241983,0.41113591,1.292141431,5.726535886,0.146834253,4.111359098,5.139198872,1.527076236,5.286033126,8.692587807,9.426759074,4.111359098,0.205567955,3.054152473,0.205567955,0,0.763538118,11.74674028,1.174674028,4.493128157
13,A0D,62.76021588,10.28747659,34.67342218,3.8109924,4.361713845,23.59290671,10.37559203,38.99107831,10.94834233,3.744905827,5.551272167,5.661416456,0.176230862,6.652715057,8.811543121,168.3885891,0.616808019,0.044057716,13.12919925,2.313030069,2.224914638,0.308404009,0.594779161,11.32283291,1.60810662,0.616808019,1.057385175,1.982597202,0.594779161,0.748981165,1.233616037,0.330432867,0.726952308,0.991298601,0.815067739,0.616808019,2.819693799,0.726952308,74.41348166,45.1591585,4.956493006,61.26225355,0.10164115,4.292522885,0.440577156,2.048683776,0.572750303,2.753607225,5.11069501,2.026654918,4.824319859,4.824319859,1.872452913,4.934464148,13.54774755,15.94889305,3.304328671,1.321731468,15.83874876,0.70492345,0,0.660865734,4.383742703,1.321731468,10.33153431
14,A0E,14.8953777,5.201560468,37.35666154,1.891476534,2.896323442,6.206407377,1.300390117,14.24518265,3.546518501,1.06395555,1.004846909,1.004846909,0.118217283,24.58919494,9.398274028,299.6217047,0.35465185,0.059108642,10.04846909,0.7093037,1.182172834,0.295543208,0.118217283,9.752925878,1.477716042,2.068802459,2.600780234,2.364345667,0.472869133,0.650195059,2.364345667,0.35465185,0.886629625,2.187019742,0.118217283,0.059108642,0.35465185,0.35465185,112.6019624,64.31020215,2.541671592,27.78106159,0.177207708,4.939528024,0.591086417,0.413760492,0.118217283,0.945738267,2.364345667,0.413760492,4.669582693,1.536824684,0.531977775,7.684123419,2.068802459,8.807187611,1.832367892,0.295543208,1.359498759,0.413760492,0,0.295543208,17.14150609,0.118217283,1.832367892
15,A0F,58.40508405,10.31160312,48.15498155,4.817548175,7.339073391,65.68265683,21.09471095,17.95817958,14.02214022,7.093070931,6.642066421,8.036080361,0.799507995,7.687576876,9.450594506,110.3116031,0.4100041,0.08200082,14.51414514,2.726527265,1.92701927,0.45100451,0.758507585,20.74620746,0.86100861,0.24600246,0.4100041,1.168511685,0.799507995,0.77900779,0.799507995,0.16400164,1.168511685,0.963509635,0.69700697,0.77900779,2.91102911,0.963509635,71.52521525,33.92783928,5.617056171,82.3698237,0.064842148,3.970650724,1.004510045,2.152521525,1.086510865,1.660516605,9.143091431,1.414514145,5.924559246,5.576055761,1.06601066,6.088560886,6.990569906,20.9102091,4.46904469,1.35301353,28.00328003,1.004510045,0,1.31201312,3.07503075,1.2300123,11.25461255
16,A0G,7.944824897,3.46062925,61.04842444,3.850559306,5.190943874,8.870908781,8.651573124,7.847342383,6.4094753,1.681573368,1.535349597,2.095874053,0.146223771,9.138985694,14.42741208,240.440621,1.559720225,0.219335657,10.72307655,1.413496454,1.169790169,0.243706285,0.316818171,15.40223722,2.753881023,0.852971998,1.97402091,1.705943996,1.413496454,0.389930056,1.48660834,0.414300685,0.316818171,1.267272683,0.389930056,0.901713255,2.753881023,1.559720225,96.16650013,90.82933249,4.752272561,54.49272537,0.130358492,4.814103621,1.608461482,1.657202739,0.389930056,2.095874053,5.361538274,0.316818171,3.582482392,6.726293471,2.047132796,5.92206273,2.729510394,8.164160554,3.095069822,0.755489484,4.094265591,0.48741257,0.073111886,1.14541954,13.1601394,0.609265713,3.582482392
17,A0H,5.488652154,4.423344141,65.97962019,5.720240852,3.10328856,2.153774896,9.610930987,10.18990273,13.68689208,4.724409449,2.130616026,3.589624826,0.04631774,15.49328393,22.67253358,155.1875868,1.204261232,0.185270959,17.23019917,3.404353868,4.168596572,1.366373321,0.741083835,28.1843446,2.802223252,0.115794349,0.741083835,3.913849004,0.185270959,0.694766095,1.50532654,0.115794349,0.648448356,0.254747568,2.315886985,0.764242705,9.634089856,2.616952293,92.63547939,65.72487263,10.18990273,79.27281149,0.059194071,4.482788989,3.242241779,2.616952293,0.880037054,4.886521538,7.781380269,0.04631774,4.423344141,7.966651227,5.118110236,6.484483557,1.829550718,13.77952756,4.817044928,0.532654006,0.694766095,0.115794349,0.04631774,1.55164428,7.827698008,1.48216767,6.600277906
18,A0J,1.428885469,2.82113285,71.18780684,1.831904448,3.077599472,3.077599472,42.28035466,7.437532058,9.709093574,3.51725654,2.418113871,4.872865831,0.806037957,23.66820547,12.85996922,190.4814245,0.915952224,0.109914267,17.95266359,3.187513739,1.685352092,0.732761779,0.476295156,20.26086319,1.75862827,0.512933245,1.318971202,1.75862827,1.465523558,0.476295156,2.381475782,0.109914267,0.586209423,0.622847512,0.476295156,0.476295156,8.976331795,1.282333114,88.2611563,61.91837034,11.76082656,48.69202022,0.096541364,4.612693346,1.172418847,1.282333114,0.146552356,2.051732982,6.851322635,0.183190445,3.627170807,16.34058767,3.700446985,7.437532058,2.528028138,12.96988349,5.092694365,0.403018979,6.008646589,0.806037957,0.036638089,1.685352092,13.51945483,0.915952224,7.437532058
19,A0K,24.0324665,8.366018999,46.54589974,3.604869975,3.718230666,13.80733217,0.861541252,14.80490625,6.257510146,3.03806652,1.791098919,1.314984016,0,32.28512481,9.975740812,180.288843,1.881787471,0.136032829,9.681003015,1.677738227,3.242115764,0.566803455,0.63481987,18.02434988,1.632393951,0.657492008,2.720656585,1.76842678,0.204049244,1.110934772,4.126329154,1.065590496,2.267213821,1.51903326,1.110934772,1.088262634,1.065590496,1.451016845,112.7712155,73.59376063,3.854263496,50.53619607,0.104201147,5.013672578,2.448590927,2.65264017,0.566803455,1.065590496,3.67288639,0.204049244,8.638084658,4.625116195,1.587049675,3.491509284,6.892330016,13.28587299,7.731199129,1.405672569,0.748180561,0.340082073,0.045344276,1.201623325,9.726347292,1.473688984,3.627542113
20,A0L,61.25663614,8.731501468,46.63282967,3.403146452,4.978317095,26.52509577,19.66046322,42.62684013,10.36501177,2.605837855,4.142115396,6.39791533,0.155572409,4.939423993,12.34855998,163.5066021,0.155572409,0.038893102,12.01796861,1.575170643,1.18623962,0.194465512,0.622289637,10.46224452,2.955875775,0.855648251,1.089006865,2.644730957,0.427824125,0.33059137,0.602843086,0.097232756,0.350037921,0.913987904,0.350037921,0.097232756,2.547498201,0.50561033,68.54909282,50.67771231,5.328355016,57.71736383,0.096357661,4.173670813,0.136125858,1.730743053,0.797308597,1.594617195,6.709060148,1.730743053,4.822744686,3.558718861,1.050113762,3.86986368,13.12642203,16.8018202,2.52805165,0.447270677,18.97983393,0.738968944,0.019446551,0.719522393,7.545261848,1.069560313,9.528810066
21,A0M,3.189066059,3.37889142,82.61199696,4.365983295,3.037205771,2.733485194,35.80106302,7.972665148,9.757023538,7.137433561,1.404707669,4.10022779,0,16.13515566,15.67957479,169.9696279,1.366742597,0.189825361,11.92103265,1.366742597,3.834472285,0.379650721,0.493545938,19.476082,2.84738041,0.151860289,1.404707669,1.480637813,0.835231587,0.835231587,1.59453303,0.379650721,0.873196659,0.341685649,2.277904328,1.442672741,6.302201974,3.948367502,84.16856492,66.02126044,6.492027335,74.25968109,0.090964313,4.584165448,3.796507213,3.037205771,0.227790433,1.936218679,4.821564161,0.037965072,5.277145027,8.959757024,4.365983295,5.315110099,2.429764617,11.00987092,6.529992407,0.341685649,2.391799544,0.303720577,0.075930144,2.012148823,5.011389522,1.025056948,7.858769932
22,A0N,61.96877064,9.096137869,27.52274034,6.880685086,6.30551946,14.67737469,8.77660141,45.84283067,9.160045161,2.705408687,3.046247577,2.982340285,0.426048612,6.561148627,13.03708753,173.4230876,0.276931598,0,9.394371898,2.215452783,1.299448267,0.191721875,0.276931598,11.971966,3.280574314,0.575165626,2.172847922,2.705408687,0.532560765,0.468653473,0.916004516,0.234326737,0.213024306,0.788189932,0.298234029,1.086423961,3.259271883,0.894702086,96.35089364,39.3242869,3.49359862,59.49768869,0.095839635,4.266572531,0.149117014,1.320750698,0.489955904,0.766887502,2.641501395,1.597682296,3.450993758,4.239183691,2.066335769,8.201435784,6.113797584,13.71876531,2.982340285,0.745585071,0.916004516,0.34083889,0,1.001214239,7.924504186,2.194150353,4.409603136
23,A0P,44.27820461,6.651839871,27.98220784,2.5677315,4.32672867,8.046906591,1.455721795,40.9421755,9.58350182,2.486858067,2.648604933,2.790133441,0.080873433,22.46259604,8.329963607,183.805095,1.010917913,0.242620299,12.23210675,1.536595228,2.628386575,0.566114032,0.303275374,10.77638496,1.819652244,1.192883138,1.455721795,1.233319854,0.788515973,0.788515973,1.758997169,0.950262839,2.871006874,2.951880307,0.343712091,1.010917913,1.293974929,0.46502224,103.3158108,64.09219571,4.407602103,51.47594015,0.121451678,4.719023063,1.51637687,2.587949858,0.323493732,2.405984634,4.569348969,0.303275374,6.287909422,2.547513142,1.213101496,2.405984634,6.207035989,11.4840275,2.22401941,0.667205823,0.849171047,0.363930449,0,0.525677315,11.4840275,1.678123736,6.672058229
24,A0R,76.77264066,6.744559222,27.63012737,4.287433557,5.81686892,26.10069201,12.53635543,45.83291545,10.63082941,2.732925484,4.538160666,6.644268378,0.501454217,7.045431752,8.173703741,168.0623809,0.426236085,0.075218133,11.55851971,2.005816869,1.328853676,0.30087253,0.651890482,12.83722796,1.830307893,0.651890482,1.328853676,1.404071808,0.175508976,0.275799819,0.902617591,0.351017952,1.053053856,0.451308796,0.626817772,1.053053856,1.805235182,0.87754488,85.8740347,41.52040919,5.365560124,53.1040016,0.097708354,4.19214093,0.501454217,1.554508073,0.250727109,0.676963193,3.78597934,0.526526928,3.560324942,4.437869822,1.855380604,5.215123859,9.978938923,14.21622706,4.437869822,0.376090663,13.73984555,0.351017952,0,0.727108615,5.139905727,1.980744158,9.02617591
25,A0S,1.791044776,6.567164179,73.43283582,0,2.388059701,1.791044776,40.59701493,7.76119403,14.92537313,1.791044776,5.970149254,5.970149254,0.597014925,41.79104478,10.74626866,195.8208955,0.597014925,0,8.358208955,2.388059701,3.582089552,1.194029851,1.194029851,15.52238806,1.194029851,0,2.388059701,2.985074627,0.597014925,0.597014925,4.776119403,0,0,0.597014925,1.194029851,0,8.955223881,0,88.95522388,53.13432836,4.776119403,41.79104478,0.279402985,4.887919463,1.194029851,0,0,0.597014925,4.179104478,0,5.373134328,12.53731343,7.76119403,4.179104478,1.194029851,12.53731343,5.373134328,0,9.552238806,0.597014925,0,0.597014925,16.11940299,0,9.552238806
26,A0T,10.89324619,3.661029131,64.34876356,1.998966826,2.897378883,16.39602003,0.539047234,10.26435775,10.46650046,5.592615053,4.514520585,3.593648227,0.291983918,35.01560991,11.83657885,162.073535,1.145475372,0.359364823,15.54252858,3.436426117,6.535947712,0.404285426,0.988253262,15.09332255,1.504840195,0.404285426,1.414998989,1.976506525,2.313411046,2.829997979,2.201109539,0.763650248,2.762617074,1.055634167,1.459919592,0.831031152,3.391505514,1.123015071,114.682299,74.92756553,6.513487411,51.23194753,0.082856052,4.987404841,4.200076365,2.582934663,0.381825124,1.931585922,5.39047234,0.381825124,9.208723581,7.861105496,2.22356984,4.739123599,12.6451497,17.94578083,3.750870337,1.347618085,0.651348741,1.078094468,0,0.718729645,6.468566808,1.796824113,8.198010017
27,A0U,56.6715164,9.081522504,40.69085277,4.317829821,5.021823814,38.62580373,9.316187169,43.24869761,10.95883982,2.440512508,3.80156756,4.810625616,0.516262261,9.83244943,14.12681278,156.7559957,0.539728728,0.046932933,11.73323321,1.595719717,1.994649646,0.305064063,0.539728728,14.10334632,2.698643638,0.469329328,1.454920918,2.909841836,0.774393392,0.680527526,1.57225325,0.445862862,0.91519219,0.91519219,0.774393392,0.750926925,2.346646642,0.962125123,85.72300183,50.5233022,5.162622612,60.33228516,0.116675271,4.275410375,0.492795795,1.853850847,0.774393392,1.009058056,5.585019008,1.431454452,3.660768761,4.810625616,1.384521519,4.857558549,6.265546534,17.83451448,3.379171164,0.91519219,17.27131928,0.962125123,0.070399399,0.58666166,7.60313512,1.57225325,9.644717698
28,A0V,22.74727209,6.995776135,51.61034847,2.507919747,4.751847941,9.415698698,6.24780007,22.1312918,7.391763464,2.463921155,2.507919747,2.947905667,0.21999296,18.61140444,11.83562126,231.3005984,0.571981697,0.087997184,13.2875748,2.199929602,1.93593805,0.395987328,0.43998592,13.94755368,1.451953537,0.967969025,1.187961985,2.551918339,0.791974657,0.967969025,2.243928194,0.527983105,0.923970433,1.759943682,0.659978881,0.747976065,1.759943682,1.363956353,99.21682506,61.73002464,4.531854981,50.95036959,0.147307286,4.623542834,1.143963393,1.363956353,0.483984512,1.979936642,5.895811334,0.703977473,5.059838085,3.915874692,1.539950722,5.323829637,5.763815558,9.943681802,2.771911299,0.615980289,4.003871876,0.395987328,0.087997184,0.571981697,7.831749384,0.923970433,5.719816966
29,A0W,0.853752241,1.45137881,77.09382737,4.098010757,3.158883292,0,21.42918125,4.35413643,7.68377017,4.012635533,0.683001793,4.610262102,0,18.09954751,16.56279348,202.3392811,1.87825493,0.256125672,12.29403227,1.024502689,1.792879706,0.426876121,0.426876121,14.42841287,3.585759413,0.170750448,1.366003586,2.988132844,0.256125672,0.426876121,1.963630155,0.085375224,0.256125672,0.426876121,1.195253138,0,3.415008964,1.707504482,92.71749338,64.62904465,6.915393153,71.97131392,0.119610689,4.673305645,3.158883292,3.073508068,0.683001793,3.927260309,6.915393153,0.085375224,5.890890464,5.890890464,5.890890464,5.293263895,1.963630155,7.68377017,2.219755827,0.085375224,0.170750448,0.085375224,0.426876121,1.024502689,7.769145394,1.024502689,4.866387774
30,A0X,19.59472643,5.323745018,51.50932352,3.567745352,3.316888257,15.72037796,4.766284806,9.337458539,9.086601444,2.843047078,2.313459877,2.48069794,0.111492042,17.25339354,15.83187,211.6676422,1.616634613,0.222984085,12.9330769,1.867491708,3.066031162,0.390222148,0.724698275,15.52526688,2.313459877,0.724698275,1.97898375,3.205396215,1.031301391,0.668952254,1.867491708,0.278730106,0.724698275,1.337904507,0.724698275,1.059174401,2.424951919,0.97555537,100.3985841,65.55732085,5.658221144,51.48145051,0.133065752,4.609932618,1.839618697,2.146221813,0.390222148,2.703682025,5.546729102,0.390222148,6.91250662,7.079744683,2.341332887,5.184379965,3.846475458,10.563871,4.738411796,1.031301391,2.257713856,0.418095158,0.139365053,0.947682359,9.588315634,1.00342838,4.822030828
31,A0Y,3.290728729,2.956886684,51.22090805,1.669210225,2.00305227,0.286150324,22.7966425,7.535291873,3.767645937,2.909194964,2.575352919,2.384586036,0.143075162,38.05799313,8.918351774,232.5448302,0.524608928,0.047691721,13.5921404,3.290728729,1.621518504,0.238458604,0.476917207,17.55055322,1.001526135,0.333842045,2.336894315,2.098435712,0.238458604,0.66768409,4.339946585,0.524608928,0.619992369,1.239984739,0.906142694,0.381533766,8.393742846,0.810759252,92.37886303,58.4700496,7.869133918,26.37352156,0.104349485,4.76694984,1.526135063,0.810759252,0.095383441,0.381533766,2.575352919,0,3.529187333,14.02136589,3.576879054,8.775276612,4.292254865,8.393742846,8.870660053,0.095383441,0.476917207,0.476917207,0,1.383059901,12.25677222,1.239984739,5.627623045
32,A10,10.33780408,5.610852773,42.46570078,1.306636947,2.421121402,2.766995888,1.345067446,7.801391184,3.689327851,2.882287383,0.922331963,1.575650436,0.076860997,45.61700165,11.26013604,257.1384651,0.845470966,0.153721994,7.993543676,1.844663925,5.034395296,0.269013489,0.230582991,15.52592137,1.268206449,0.768609969,3.804619346,2.382690904,0.307443988,0.538026978,2.805426386,0.461165981,1.22977595,0.883901464,0.538026978,0.422735483,1.690941932,0.807040467,115.4836478,78.05234234,4.534798816,26.93977941,0.123054456,5.163512229,1.575650436,1.345067446,0.153721994,0.653318474,3.228161869,0.076860997,5.380269782,5.341839284,2.22896891,6.494754237,7.801391184,9.261750125,6.341032243,0.461165981,0.038430498,0.49959648,0,0.768609969,13.02793897,0.461165981,3.689327851
